player_id,name,current_club_name,date_of_birth,position,sub_position,foot,height_in_cm,international_caps,market_value_in_eur,appearances,goals,assists,minutes,yellow_cards,red_cards
132,Tomas Rosicky,Arsenal FC,1980-10-04,Midfield,Attacking Midfield,both,179.0,,350000.0,0.0,0.0,0.0,0.0,0.0,0.0
488,Gerhard Tremmel,Swansea City,1978-11-16,Goalkeeper,Goalkeeper,,,,250000.0,0.0,0.0,0.0,0.0,0.0,0.0
1397,Michael Owen,Stoke City,1979-12-14,Attack,Centre-Forward,both,173.0,,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
1573,Thomas Hitzlsperger,Everton FC,1982-04-05,Midfield,Central Midfield,,,,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2514,Bastian Schweinsteiger,Manchester United,1984-08-01,Midfield,Central Midfield,,,,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2857,Eldin Jakupovic,Everton FC,1984-10-02,Goalkeeper,Goalkeeper,right,191.0,,100000.0,0.0,0.0,0.0,0.0,0.0,0.0
2998,Robert Huth,Leicester City,1984-08-18,Defender,Centre-Back,,,,2500000.0,0.0,0.0,0.0,0.0,0.0,0.0
3109,Steven Gerrard,Liverpool FC,1980-05-30,Midfield,Central Midfield,right,183.0,,1750000.0,0.0,0.0,0.0,0.0,0.0,0.0
3118,Kieron Dyer,Queens Park Rangers,1978-12-29,Midfield,Right Midfield,right,170.0,,500000.0,0.0,0.0,0.0,0.0,0.0,0.0
3120,Richard Wright,Manchester City,1977-11-05,Goalkeeper,Goalkeeper,right,190.0,,250000.0,0.0,0.0,0.0,0.0,0.0,0.0
3130,Titus Bramble,Sunderland AFC,1981-07-31,Defender,Centre-Back,right,192.0,,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0
3131,Kevin Phillips,Crystal Palace,1973-07-25,Attack,Centre-Forward,right,170.0,,250000.0,0.0,0.0,0.0,0.0,0.0,0.0
3146,Shay Given,Stoke City,1976-04-20,Goalkeeper,Goalkeeper,right,185.0,,250000.0,0.0,0.0,0.0,0.0,0.0,0.0
3151,Carlo Cudicini,Tottenham Hotspur,1973-09-06,Goalkeeper,Goalkeeper,right,184.0,,500000.0,0.0,0.0,0.0,0.0,0.0,0.0
3156,William Gallas,Tottenham Hotspur,1977-08-17,Defender,Centre-Back,right,182.0,,500000.0,0.0,0.0,0.0,0.0,0.0,0.0
3160,John Terry,Chelsea FC,1980-12-07,Defender,Centre-Back,right,187.0,,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
3163,Frank Lampard,Manchester City,1978-06-20,Midfield,Central Midfield,right,184.0,,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
3190,Stuart Taylor,Southampton FC,1980-11-28,Goalkeeper,Goalkeeper,right,198.0,,250000.0,0.0,0.0,0.0,0.0,0.0,0.0
3195,Jermaine Pennant,Stoke City,1983-01-15,Attack,Right Winger,right,173.0,,500000.0,0.0,0.0,0.0,0.0,0.0,0.0
3220,John Arne Riise,Fulham FC,1980-09-24,Defender,Left-Back,left,185.0,,700000.0,0.0,0.0,0.0,0.0,0.0,0.0
3226,Nicolas Anelka,West Bromwich Albion,1979-03-14,Attack,Centre-Forward,right,186.0,,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
3235,Rio Ferdinand,Queens Park Rangers,1978-11-07,Defender,Centre-Back,right,189.0,,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
3259,Damien Duff,Fulham FC,1979-03-02,Midfield,Right Midfield,left,177.0,,600000.0,0.0,0.0,0.0,0.0,0.0,0.0
